keys,ja,en,zh_CN,zh_TW,ko,ru
floor,階「{floor_name}」,"F ""{floor_name}""",楼「{floor_name}」,樓「{floor_name}」,층 「{floor_name}」,этаж «{floor_name}»
エレベーター,エレベーター,Elevator,电梯,電梯,엘리베이터,Лифт
マーケット,マーケット,Market,市场,市場,마켓,Маркет
マンション近くのホテル,マンション近くのホテル,Hotel near apartment,公寓附近的旅馆,公寓附近的旅館,아파트 근처의 호텔,Отель у ЖК
B_ACT_0001,"【{card_name}】
概要：
{expr}
詳細説明：
{detail}
使用回数({bonus}回使用で特別支給あり)：
{bonus_cnt}
レポート：
　{report}
","【{card_name}】
Overview:
{expr}
Description:
{detail}
Uses (bonus unlocked at {bonus} uses):
{bonus_cnt}
Report:
　{report}
","【{card_name}】
概要：
{expr}
说明：
{detail}
使用次数(使用{bonus}次可获得特殊补给)：
{bonus_cnt}
报告：
　{report}
","【{card_name}】
概要：
{expr}
說明：
{detail}
使用次數(使用{bonus}次可獲得特殊補給)：
{bonus_cnt}
報告：
　{report}
","【{card_name}】
개요：
{expr}
상세 설명：
{detail}
사용 횟수({bonus}회 사용 시 특별 지급 있음)：
{bonus_cnt}
보고서：
　{report}
","【{card_name}】
Краткое описание:
{expr}
Подробное описание:
{detail}
Количество использований (Награда за {bonus} раз):
{bonus_cnt}
Отчёт:
　{report}"
B_ENEMY_0013,"【{enemy_name}】
概要：
{expr}
詳細説明：
{detail}
レポート：
　{report}
","【{enemy_name}】
Overview:
{expr}
Description:
{detail}
Report:
　{report}
","【{enemy_name}】
概要：
{expr}
说明：
{detail}
报告：
　{report}
","【{enemy_name}】
概要：
{expr}
說明：
{detail}
報告：
　{report}
","【{enemy_name}】
개요：
{expr}
상세 설명：
{detail}
보고서：
　{report}
","【{enemy_name}】
Краткое описание:
{expr}
Подробное описание:
{detail}
Отчёт:
　{report}"
B_FLOOR_0015,"■{floor_num}{floor_arrow}階「{floor_name}」
調査状況：
{star}
情報ソース：
{source}
レポート：
　{report}
","■{floor_num}{floor_arrow}F ""{floor_name}""
Investigation Status:
{star}
Source of Information:
{source}
Report:
　{report}
","■{floor_num}{floor_arrow}楼「{floor_name}」
调查状况：
{star}
信息来源：
{source}
报告：
　{report}
","■{floor_num}{floor_arrow}樓「{floor_name}」
調查狀況：
{star}
資訊來源：
{source}
報告：
　{report}
","■{floor_num}{floor_arrow}층 ""{floor_name}""
조사 현황：
{star}
정보 출처：
{source}
보고서：
　{report}
","■{floor_num}{floor_arrow} этаж «{floor_name}»
Статус исследования:
{star}
Источник информации:
{source}
Отчёт:
　{report}"
ゴミ溜め,ゴミ溜め,Garbage Dump,垃圾堆,垃圾堆,쓰레기 더미,Свалка
宝探し,宝探し,Treasure Hunter,寻宝术,尋寶術,보물찾기,Охота за сокровищами
B_FLOOR_0019,？？？？,????,？？？？,？？？？,？？？？,？？？？
B_FLOOR_0021,？,?,？,？,？,？
B_FLOOR_0022,調査完了後に提出予定,Submit upon completion.,调查完成后提交,調查完成後提交,조사 완료 후 제출 예정,Сдать после завершения исследования
B_FLOOR_0023,調査未完了,Incomplete,调查未完成,調查未完成,조사 미완료,Не завершено
B_FLOOR_0024,調査完了！,Complete,调查完成,調查完成,조사 완료,Завершено!
B_SKILL_0025,"スキル名：
　【{skill_name}】
概要：
{expr}
説明：
{detail}
レポート：
　{report}
","Skill Name:
　【{skill_name}】
Overview:
{expr}
Description:
{detail}
Report:
　{report}
","技能名称：
　【{skill_name}】
概要：
{expr}
说明：
{detail}
报告：
　{report}
","技能名稱：
　【{skill_name}】
概要：
{expr}
說明：
{detail}
報告：
　{report}
","스킬명：
　【{skill_name}】
개요：
{expr}
설명：
{detail}
보고서：
　{report}
","Название навыка:
　【{skill_name}】
Краткое описание:
{expr}
Описание:
{detail}
Отчёт:
　{report}"
自力探索,自力探索,Manual Exploration,自行探索,自行探索,자력 탐색,Самостоятельное исследование
CARD_0029,ひとまず歩いてみる,Just Start Walking.,先走走看。,先走走看。,일단 걸어보기,Просто пройтись
CARD_0030,マンション探索を始めて間もない段階の、不慣れな探索。,A clumsy start. Early days of exploring the mansion.,公寓探索初期的青涩探索。,公寓探索初期的青澀探索。,"아파트 탐색을 시작한 지 얼마 되지 않은 단계의, 서툰 탐색",По первости неуклюжая вылазка по исследованию поместья.
CARD_0031,計画的ではない、ただ歩くだけの行動。怪異とまともに鉢合わせする可能性が高いです。とは言え、ただ歩くだけでも大丈夫なエリアを見極め増やしていくのは、体力の消耗を抑えるために重要な事です。,"An unplanned action—simply walking. There is a high probability of running straight into an aberration. Even so, identifying and expanding the areas where you can safely just walk is crucial for minimizing physical exhaustion.",并非有计划的行动，而仅仅是四处走动。这极有可能与怪异撞个正着。话虽如此，判明并增加那些“仅仅是走动也无妨”的区域，对于减少体力消耗而言是至关重要的。,並非經過規劃，只是單純行走的行動。與怪異正面遭遇的可能性很高。話雖如此，逐步辨識並擴大光靠行走也能安全通行的區域，對於抑制體力消耗來說十分重要。,"계획적이지 않고 그저 걷기만 하는 행동. 괴이와 정면으로 마주칠 가능성이 높습니다. 그렇다고는 해도, 그저 걷기만 해도 괜찮은 지역을 파악해 그 범위를 넓혀가는 것은 체력 소모를 줄이기 위해 중요한 일입니다.","Действие без плана - просто блуждание. Высока вероятность напрямую столкнуться с аномалией. Однако выявление и увеличение количества мест, где можно просто ходить без риска, необходимо для экономии сил."
黒い人型の塊,黒い人型の塊,Black Silhouette,黑色人形块,黑色人形塊,검은 인간형 덩어리,Чёрный гуманоидный силуэт
CARD_0033,「待って」,"""Wait""",“等等”,「等等」,「기다려」,Ожидать
CARD_0034,マンションの怪異そのものというよりは、怪異により生じた歪みが蓄積して形成されたもの。生きた生物を求める。,"Rather than being an aberration of the apartment complex itself, it is a manifestation formed by the accumulation of distortions caused by the aberration. It seeks living organisms.",与其说是公寓本身的怪异，倒不如说是因怪异产生的扭曲堆积而成的产物。渴望着活生生的生物。,與其說是公寓裡的怪異本身，不如說是由怪異所造成的扭曲累積而成的產物。會尋求活生生的生物。,"아파트의 괴이 그 자체라기보다는, 괴이로 인해 발생한 왜곡이 축적되어 형성된 존재. 살아있는 생물을 갈구한다.","Это не столько сама аномалия поместья, сколько нечто, сформированное в результате накопления искажений, ею вызванных. Оно жаждет живых существ."
CARD_0035,各部屋から全く同じ内容の家族団欒の会話が聞こえてくる階層がありました。全く同じと書きましたが、正確には何かが段々と歪んでいき、最後には不快なノイズとなりました。そこからさらに会話が歪み続けると、最後に部屋が焼失しました。その先に彼らはいました。歪んでいない、生きたものを求め彷徨いますが、幸いにも知能は低いようです。物陰に身を潜めれば容易にやり過ごせるでしょう。,"맨션의 괴이 그 자체라기보다는, 괴이로 인해 생긴 왜곡이 축적되어 형성된 것. 살아있는 생물을 갈구한다.","Это не столько сама аномалия жилого комплекса, сколько сущность, сформированная скоплением порождённых ею искажений. Жаждет живых существ.",曾經有一層樓，能從每個房間裡聽到內容完全相同的一家團圓對話。雖然寫著完全相同，但正確來說，是某種東西逐漸扭曲，最後變成了令人不快的雜訊。隨著對話繼續扭曲下去，最後房間就燒毀了。而牠們，就存在於那之後的地方。牠們徘徊著尋求未經扭曲、活生生的東西，但幸好智能似乎不高。只要躲在陰影處，應該就能輕易避開。,"각 방에서는 가족들이 단란하게 대화하는 소리가 똑같이 흘러나오는 층이 있었다. 완전히 똑같다고 했지만, 정확히는 어딘가가 점점 왜곡되더니 마지막에는 불쾌한 소음이 되버렸다. 그리고 그 왜곡이 계속 심해지자, 마지막에는 방 자체가 타버려 사라졌다. 그 너머에 그것들이 있었다. 왜곡되지 않은, 살아 있는 것을 찾아 헤매지만, 다행히 지능은 낮은 모양이다. 몸을 숨기고 조용히 숨어 있으면, 어렵지 않게 지나칠 수 있을 것이다.","Был этаж где из каждой квартиры доносились домашние разговоры, совершенно одинаковые по содержанию. Я написал ""совершенно одинаковые"", но будет точнее сказать, что постепенно что-то начинало искажаться, и в итоге они превращались в неприятный шум. Когда искажение доходило дальше - квартиры сгорали до тла. Это искажение было их обиталищем. Они скитаются в поисках чего-то живого, не искажённого, но к счастью, интеллектом они похоже обделены. Если спрятаться в тени и не шуметь, их можно легко миновать."
警戒,警戒,Alert,警戒,警戒,경계,Бдительность
CARD_0037,周囲の様子を見る,Look Around.,观察四周。,觀察四周。,주변 상황을 살핀다,Осмотреться
CARD_0038,周囲の様子を見て、異常を探る。,Observe the surroundings to search for anomalies.,观察周围的情况，寻找异常。,觀察周圍的狀況，探查異常。,"주변 상황을 살피며, 이상 징후를 찾아본다.",Оценить обстановку чтобы приметить нечто необычное
