"keys","ja","en","zh_CN","zh_TW","ko","ru"
"Log","ログ一覧","Game Logs","Log","Log","Log","Log"
"Save","セーブ一覧","Saves","Save","Save","Save","Save"
"Load","ロード一覧","Loads","Load","Load","Load","Load"
"Close","閉じる","Close","Close","Close","Close","Close"
"Text Speed","テキスト速度","Text Speed","Text Speed","Text Speed","Text Speed","Text Speed"
"BGM Volume","BGM音量","BGM Volume","BGM Volume","BGM Volume","BGM Volume","BGM Volume"
"ME Volume","ME音量","ME Volume","ME Volume","ME Volume","ME Volume","ME Volume"
"Sound Volume","サウンド音量","Sound Volume","Sound Volume","Sound Volume","Sound Volume","Sound Volume"
"Language","言語","Language","Language","Language","언어","Language"
"Return Title","タイトルに戻る","Main Menu","Return Title","Return Title","타이틀로 돌아가기","Return Title"
"Exit Game","ゲームをやめる","Quit Game and Exit to Desktop","Exit Game","Exit Game","게임 종료","Exit Game"
"ログ","ログ","LOG","LOG","LOG","로그","LOG"
"セーブ","セーブ","SAVE","保存","Save","저장","Сохранение"
"ロード","ロード","LOAD","LOAD","Load","로드","LOAD"
"設定","設定","SETTINGS","SETTING","SETTING","설정","SETTING"
"[center][font_size=70][outline_size=8][outline_color=#FFFFFF][wave amp=32 freq=6][color=black]ノベルゲームウィザードデモ[/color][/wave][/outline_color][/outline_size][/font_size][/center]","[center][font_size=70][outline_size=8][outline_color=#FFFFFF][wave amp=32 freq=6][color=black]ノベルゲームウィザードデモ[/color][/wave][/outline_color][/outline_size][/font_size][/center]","[center][font_size=70][outline_size=8][outline_color=#FFFFFF][wave amp=32 freq=6][color=black]Visual Novel Wizard Demo[/color][/wave][/outline_color][/outline_size][/font_size][/center]","[center][font_size=70][outline_size=8][outline_color=#FFFFFF][wave amp=32 freq=6][color=black]Novel Game Wizard Demo[/color][/wave][/outline_color][/outline_size][/font_size][/center]","[center][font_size=70][outline_size=8][outline_color=#FFFFFF][wave amp=32 freq=6][color=black]Novel Game Wizard Demo[/color][/wave][/outline_color][/outline_size][/font_size][/center]","[center][font_size=70][outline_size=8][outline_color=#FFFFFF][wave amp=32 freq=6][color=black]Novel Game Wizard Demo[/color][/wave][/outline_color][/outline_size][/font_size][/center]","[center][font_size=70][outline_size=8][outline_color=#FFFFFF][wave amp=32 freq=6][color=black]Novel Game Wizard Demo[/color][/wave][/outline_color][/outline_size][/font_size][/center]"
"はじめる","はじめる","START","新游戏","新遊戲","처음부터","처음부터"
"続きから","続きから","CONTINUE","继续游戏","繼續遊戲","이어하기","이어하기"
"終了","終了","EXIT","退出游戏","退出遊戲","게임 종료","게임 종료"
"機能ボタンの表示。[LF]（ログ、セーブ、ロード、設定）[LF]BGMの再生。","機能ボタンの表示。[LF]（ログ、セーブ、ロード、設定）[LF]BGMの再生。","Show the function buttons. [LF](LOG; SAVE; LOAD; SETTINGS)[LF]Play BGM.","Display function buttons.[LF](Log[COMMA] Save[COMMA] Load[COMMA] Setting)[LF]Play BGM.","Display function buttons.[LF](Log[COMMA] Save[COMMA] Load[COMMA] Setting)[LF]Play BGM.","Display function buttons.[LF](Log[COMMA] Save[COMMA] Load[COMMA] Setting)[LF]Play BGM.","Display function buttons.[LF](Log[COMMA] Save[COMMA] Load[COMMA] Setting)[LF]Play BGM."
"画像を表示します。[LF]（キャラクターの登場）[LF]画像の移動 + フェードイン + 上下揺れ","画像を表示します。[LF]（キャラクターの登場）[LF]画像の移動 + フェードイン + 上下揺れ","Show an image. [LF](Character appears)[LF]Image movement + fade in + vertical shaking","Display an image.[LF](Character appears)[LF]Image movement + fade in + bobbing","Display an image.[LF](Character appears)[LF]Image movement + fade in + bobbing","Display an image.[LF](Character appears)[LF]Image movement + fade in + bobbing","Display an image.[LF](Character appears)[LF]Image movement + fade in + bobbing"
"ボタンの表示。","ボタンの表示。","Show the buttons.","Display buttons.","Display buttons.","Display buttons.","Display buttons."
"ボタン１","ボタン１","Button 1","Button 1","Button 1","Button 1","Button 1"
"ボタン２","ボタン２","Button 2","Button 2","Button 2","Button 2","Button 2"
"ボタン１を押しました。","ボタン１を押しました。","You pressed Button 1.","Button 1 was pressed.","Button 1 was pressed.","Button 1 was pressed.","Button 1 was pressed."
"ボタン２を押しました。","ボタン２を押しました。","You pressed Button 2.","Button 2 was pressed.","Button 2 was pressed.","Button 2 was pressed.","Button 2 was pressed."
"MEの再生","MEの再生","Play ME","Play ME.","Play ME.","Play ME.","Play ME."
"効果音 + 画像揺れ","効果音 + 画像揺れ","Sound effects + image shake","Sound effects + Image shaking","Sound effects + Image shaking","Sound effects + Image shaking","Sound effects + Image shaking"
"画面揺れ","画面揺れ","Screen shake","Screen Shaking","Screen Shaking","Screen Shaking","Screen Shaking"
"画像のアニメーション","画像のアニメーション","Image animation effects","Image animation","Image animation","Image animation","Image animation"
"アニメーション画像の消去。","アニメーション画像の消去。","Remove animated images.","Erase animated images.","Erase animated images.","Erase animated images.","Erase animated images."
"色々な文字の表現。","色々な文字の表現。","Various text effects.","Various expressions of characters.","Various expressions of characters.","Various expressions of characters.","Various expressions of characters."
"[b]太い文字（ボールド）を表示します。[/b]","[b]太い文字（ボールド）を表示します。[/b]","[b]Display text in bold. [/b]","[b]Displays thick text (bold).[/b]","[b]Displays thick text (bold).[/b]","[b]Displays thick text (bold).[/b]","[b]Displays thick text (bold).[/b]"
"[i]斜め文字（イタリック）を表示します。[/i]","[i]斜め文字（イタリック）を表示します。[/i]","[i]Display text in italics. [/i]","[i]Displays oblique text (italics).[/i]","[i]Displays oblique text (italics).[/i]","[i]Displays oblique text (italics).[/i]","[i]Displays oblique text (italics).[/i]"
"[color=red]文字の色を変更します。（赤色）[/color][LF][color=#FF6000]任意の色にも変更できます。（オレンジ色）[/color]","[color=red]文字の色を変更します。（赤色）[/color][LF][color=#FF6000]任意の色にも変更できます。（オレンジ色）[/color]","[color=red]Change the text color. (RED)[/color][LF][color=#FF6000]Text can also be changed to any other colors. (ORANGE)[/color]","[color=red]Change the text color. (Red)[/color][LF][color=#FF6000]Can also change it to any color. (Orange)[/color]","[color=red]Change the text color. (Red)[/color][LF][color=#FF6000]Can also change it to any color. (Orange)[/color]","[color=red]Change the text color. (Red)[/color][LF][color=#FF6000]Can also change it to any color. (Orange)[/color]","[color=red]Change the text color. (Red)[/color][LF][color=#FF6000]Can also change it to any color. (Orange)[/color]"
"[outline_color=#40FF40][outline_size=2]文字に外枠をつけます。[/outline_size][/outline_color]","[outline_color=#40FF40][outline_size=2]文字に外枠をつけます。[/outline_size][/outline_color]","[outline_color=#40FF40][outline_size=2]Add a outline to the text. [/outline_size][/outline_color]","[outline_color=#40FF40][outline_size=2]Add an outline to the text.[/outline_size][/outline_color]","[outline_color=#40FF40][outline_size=2]Add an outline to the text.[/outline_size][/outline_color]","[outline_color=#40FF40][outline_size=2]Add an outline to the text.[/outline_size][/outline_color]","[outline_color=#40FF40][outline_size=2]Add an outline to the text.[/outline_size][/outline_color]"
"[img=24]res://addons/novel_game_wizard/assets/sprites/pencil_01_32_32.png[/img]画像を表示します。","[img=24]res://addons/novel_game_wizard/assets/sprites/pencil_01_32_32.png[/img]画像を表示します。","[img=24]res://addons/novel_game_wizard/assets/sprites/pencil_01_32_32.png[/img]Show an image.","[img=24]res://addons/novel_game_wizard/assets/sprites/pencil_01_32_32.png[/img]Display the image.","[img=24]res://addons/novel_game_wizard/assets/sprites/pencil_01_32_32.png[/img]Display the image.","[img=24]res://addons/novel_game_wizard/assets/sprites/pencil_01_32_32.png[/img]Display the image.","[img=24]res://addons/novel_game_wizard/assets/sprites/pencil_01_32_32.png[/img]Display the image."
"[wave amp=50 freq=2]波のアニメーションをつけます。[/wave]","[wave amp=50 freq=2]波のアニメーションをつけます。[/wave]","[wave amp=50 freq=2]Apply wave animation. [/wave]","[wave amp=50 freq=2]Add wave animation.[/wave]","[wave amp=50 freq=2]Add wave animation.[/wave]","[wave amp=50 freq=2]Add wave animation.[/wave]","[wave amp=50 freq=2]Add wave animation.[/wave]"
"[tornado radius=5 freq=2]竜巻のアニメーションをつけます。[/tornado]","[tornado radius=5 freq=2]竜巻のアニメーションをつけます。[/tornado]","[tornado radius=5 freq=2]Apply tornado animation. [/tornado]","[tornado radius=5 freq=2]Add a tornado animation.[/tornado]","[tornado radius=5 freq=2]Add a tornado animation.[/tornado]","[tornado radius=5 freq=2]Add a tornado animation.[/tornado]","[tornado radius=5 freq=2]Add a tornado animation.[/tornado]"
"[shake rate=20 level=10]文字を揺らします。[/shake]","[shake rate=20 level=10]文字を揺らします。[/shake]","[shake rate=20 level=10]Shake the text. [/shake]","[shake rate=20 level=10]Shake the texts.[/shake]","[shake rate=20 level=10]Shake the texts.[/shake]","[shake rate=20 level=10]Shake the texts.[/shake]","[shake rate=20 level=10]Shake the texts.[/shake]"
"[fade start=4 length=14]文字をだんだん薄くします。（フェード）[/fade]","[fade start=4 length=14]文字をだんだん薄くします。（フェード）[/fade]","[fade start=4 length=14]Fade out the text. [/fade]","[fade start=4 length=14]Gradually fade the text. (Fade)[/fade]","[fade start=4 length=14]Gradually fade the text. (Fade)[/fade]","[fade start=4 length=14]Gradually fade the text. (Fade)[/fade]","[fade start=4 length=14]Gradually fade the text. (Fade)[/fade]"
"選択肢を表示します。","選択肢を表示します。","Show Choices.","The options are displayed.","The options are displayed.","The options are displayed.","The options are displayed."
"選択肢１","選択肢１","Choice 1","Option 1","Option 1","Option 1","Option 1"
"選択肢２","選択肢２","Choice 2","Option 2","Option 2","Option 2","Option 2"
"選択肢１を選びました。","選択肢１を選びました。","You chose Choice 1.","Option 1 was selected.","Option 1 was selected.","Option 1 was selected.","Option 1 was selected."
"選択肢２を選びました。","選択肢２を選びました。","You chose Choice 2.","Option 2 was selected.","Option 2 was selected.","Option 2 was selected.","Option 2 was selected."
"画面をフェードアウトします。","画面をフェードアウトします。","Fade out the screen.","Fade out the screen.","Fade out the screen.","Fade out the screen.","Fade out the screen."
"画面をフェードインします。","画面をフェードインします。","Fade in the screen.","Fade in the screen.","Fade in the screen.","Fade in the screen.","Fade in the screen."
"変数に値を代入します。[LF]（変数 var_1 に 5963 を代入します。）","変数に値を代入します。[LF]（変数 var_1 に 5963 を代入します。）","Assign a value to a variable. [LF]Assign value 5963 to variable var_1. )","Assign a value to a variable.[LF](Assign the value 5963 to the variable var_1.)","Assign a value to a variable.[LF](Assign the value 5963 to the variable var_1.)","Assign a value to a variable.[LF](Assign the value 5963 to the variable var_1.)","Assign a value to a variable.[LF](Assign the value 5963 to the variable var_1.)"
"変数 var_1 の値は {var_1} です。","変数 var_1 の値は {var_1} です。","The value of variable var_1 is {var_1}.","The variable var_1 has the value {var_1}.","The variable var_1 has the value {var_1}.","The variable var_1 has the value {var_1}.","The variable var_1 has the value {var_1}."
"変数に計算式を代入し計算結果を記録します。[LF]（変数 var_1 に 100 + 100 を代入します。）","変数に計算式を代入し計算結果を記録します。[LF]（変数 var_1 に 100 + 100 を代入します。）","Assign a formula to a variable and record the result. [LF]Assign value 100+100 to variable var_1. )","Assign a formula to a variable and record the calculation result.[LF](Assign 100 + 100 to the variable var_1.)","Assign a formula to a variable and record the calculation result.[LF](Assign 100 + 100 to the variable var_1.)","Assign a formula to a variable and record the calculation result.[LF](Assign 100 + 100 to the variable var_1.)","Assign a formula to a variable and record the calculation result.[LF](Assign 100 + 100 to the variable var_1.)"
"変数 var_1 の値は {var_1} です。","変数 var_1 の値は {var_1} です。","The value of variable var_1 is {var_1}.","The variable var_1 has the value {var_1}.","The variable var_1 has the value {var_1}.","The variable var_1 has the value {var_1}.","The variable var_1 has the value {var_1}."
"ウィンドウを複数表示します。","ウィンドウを複数表示します。","Show multiple windows.","Display multiple windows.","Display multiple windows.","Display multiple windows.","Display multiple windows."
"二つ目のウィンドウ。","二つ目のウィンドウ。","Second window.","Second window.","Second window.","Second window.","Second window."
"二つ目のウィンドウを揺らす。","二つ目のウィンドウを揺らす。","Shake the second window.","Shake the second window.","Shake the second window.","Shake the second window.","Shake the second window."
"二つ目のウィンドウの消去。","二つ目のウィンドウの消去。","Remove the second window.","Delete the second window.","Delete the second window.","Delete the second window.","Delete the second window."
"画像の消去。","画像の消去。","Remove the image.","Delete image.","Delete image.","Delete image.","Delete image."
"画像の移動。","画像の移動。","Move the image.","Move image.","Move image.","Move image.","Move image."
"リニア","リニア","Linear","Linear","Linear","Linear","Linear"
"サイン・イン・サインアウト","サイン・イン・サインアウト","Sine (Easing) In / Sine (Easing) Out","Sign in / Sign out","Sign in / Sign out","Sign in / Sign out","Sign in / Sign out"
"デモを終了します。","デモを終了します。","End the demo.","End the demo.","End the demo.","End the demo.","End the demo."
